,title,review,rating,author,review_date
0,Quality made and a fantastic deal!  Let me show you how they work., These Rockbirds LED Flashlights I bought came it a pack of 2 for only $9.99 which is a crazy good deal.  I collect LED flashlights and have about 30 right now but I really like these smaller ones because I can just keep them in my pocket.These are heavy duty and made with aluminum.  The battery compartment has an O ring to keep moisture out.  They are waterproof but not to be submerged in water but they will withstand rain.The beam is adjustable and you can see that in the video I provided to go with this review and I also show all 3 modes of lighting.  All you need to do is slightly tap the on and off switch and it will change modes.Please watch the video to get a better idea of what I am talking about.  Overall it is excellent for the price and you get 2!  I give this 5 stars easily.  I hoped this helped in some way.,5,GardenGuy,2017-03-04
1,"Miniature in size & price, but big on light output!","Given my many prior, poor experiences with several of the low-price/knockoff CREE type LED, zoomable style flashlights I've bought of this design, these lights are a surprisingly good purchase.  I've left off 1 of the 5 stars for 2 main reasons detailed in PRO's/CON's list below:CONS:1- Without (very) fresh batteries, the luminosity quoted in the product description isn't consistently provided by these lights- except on full, fresh batteries, the light is much dimmer than it can be when the light has fully powered batteries in it, so you'll end up going through batteries faster than normal (thankfully, the ""Amazon Basics"" AA batteries are very good quality & are very cheap compared to name-brands, so this is a solveable issue, just wasteful, seeing as you end up tossing batteries which still hold some charge- I've ended up using the 1/2 dead flashlight batteries in my cable box remotes in an effort not to waste them).2- Like many of the economical flashlights being sold of this design type, sometimes the power-button press to cycle between modes happens without your input, turning on the strobe setting or the lower light output setting without my intending to do so by pressing the power button.PROS:1- These lights are very compact, yet with fully charged batteries, they have a high light output for their size. Given the amount of light they provide when fully powered, they do a good job to the point that my wife always keeps one in her purse & her car for being about at night &/or walking our dog after dark.2- Unlike many of the other flashlights I've bought of this design/type, these lights have held up quality-wise over a decent amount of use- working just as they well as they did when they'd 1st arrived.3- The price asked would be inexpensive for 1 CREE-type LED light of this design & high quality, so very good value for a 2 pack!Overall I certainly recommend them if you're looking for a good, low-cost & compact CREE-type LED, zoomable flashlight which works well & is of good quality..",4,NSB,2018-02-10
2,Great for the kids while Camping,"Even though, the wide angle gives a decent spray of light. With a fresh battery, these lights struggled to light the bushes from 50 yards away. That does not mean if you want to use these babies in the attic, while checking the rat traps, you wont have great light, but when you zoom the lens for a tighter Beam... you'll find a ""square"" which is emitted by the LED module/crystal. Which is okay, (for kids) but not great if you need to really see that ""thing"" that is right there... LOOKIN BACK AT YOU ......  All in all, this is great deal for a four pack of flashlights that you can give to the kids for a camping trip, to keep them all on the same wave, but if you're looking for something else to keep you out of the dark, and give yourself a chance to stay ahead of the critters... try something else.",3,Snax,2017-11-07
3,Heavy Duty and Bright, These are good quality tactical flashlights. They have three modes and in the video I am posting along with this review you can see the difference in the 3 modes which are changeable with a click of the button at the end of the flashlight. There is a sturdy pocket clip mounted to the side of the flashlights with two small screws. So far I haven't had any problems with the flashlights which seem to be pretty durable and are just what I expected.,5,jack,2017-03-07
4,"Small, but mighty","These ended up being very handy, but I didn't realize how small they would be. To be fair to the manufacturer I probably didn't grasp what the dimensions they posted really meant so it's in. I way their fault. For those of you who are not as found of math or lack basic sense of  spatial awareness (like me), these little guys are about palm size. Maybe a little smaller or bigger depending on your body proportions, but that's my best comparison out the gate.All that being said these are some nifty flashlights. They have a bright, medium, and strobe setting which you change by halfway pressing the power button. I found that out a bit of a startling way, but was none the less impressed. Overall I am satisfied with my purchase.",4,JTL,2017-09-13
5,small but powerful,"These are small enough to carry in a purse or backpack. I personally carry one in my purse for those times when I am going to my car late in the evening and need a light to see.  I take evening classes and sometimes going to my car is a little scary, so I really like having the flashlight readily available. It eases my stress and fears waking to my car being able to actually see.  We recently lost power and I used my rockbird flashlight most of the evening. I was amazed at how long and well it worked. I am very happy with these flashlights and look forward to using them for camping and hiking over the summer. I am impressed for as small as they are, they emit quite a bit of light.",5,Darlene Sharpe,2017-03-16
6,"One Bright, One Dim!",Handy little flashlights and I thought the clip would be great for for those times I don't happen to have pockets.  So far I found that the metal bar is so tight that I can't it to clip on any clothing and I am afraid to pry it open too far in case it snaps off.I also received one that was great and one that was significantly dimmer.  Can't blame the batteries as I switched them out with the same results.If they were both the same intensity I would rate them 5 stars.,4,Nalo,2017-08-25
7,Great Flashlights in a small package,Don't be fooled by their small appearance they pack a punch! Liked the fact that two came in a package. They are small enough that I kept one in my glove box in my car and one in the bathroom vanity in our upstairs bathroom.  When the electricity goes out it always seems like I can never find the flashlights now I have them on every level of my home. With one simple Double A battery they are ready to go.  They really give off a lot of light for a small flashlight.  I also like the fact that they have a setting that is like a strobe light.  That is why I decided to keep one in the car if we ever get stuck in the dark it can be used to flag someone down. I will be purchasing more of these!,5,Minnchic,2017-04-07
8,"one worked, one didnt","i gave it 3 stars because only one of the flash lights worked.  it didnt seem worth it to send them back since i really only needed one for a Christmas gift, just seemed easier and cheaper to get the two pack.  I put the batteries in and one worked right away while the other only pretends to work if the spring touches the side wall while the battery is in it and that's impossible to use since you have to close the cap to keep the battery inside.  The one that works however is awesome and more than what i expected it to be, flashes, zooms and expands and is very bright for its small size. just wish the other one worked. overall happy with the one that works but disappointed only one worked",3,Olivia,2017-12-11
9,"Fantastic Little Flashlight, Except...","Really love these little flashlights, they're the best I've found on market. Small, VERY powerful for their size, focusable and only require one AA battery.Why not 5 stars? Because of the three modes that you must cycle through every time. I have a couple of flashlights that stay in the same mode unless you repeatedly press the button, and then stay in that mode until changed again. That's the way all of these should work. It's a real pain to have to click so many times, just to get back to the only setting I'll use: high. Make that change and I'll buy a dozen for everyone in the family.",4,The Great Buzzwami,2017-04-30
10,Not happy with modes!!!!,I ordered similar lights to this in the past... LOVED THEM!  These however constantly cycle the features each time you turn the light on.For example:First time you turn it on... Super bright.Next time... Dim mode.Next time... Flashing pattern.NORMALLY... These types of flashlights should function:Momentary press button = Changes mode.Turn unit off = Remembers where it was.,2,BillyBobBooooooJohnson,2017-12-10
12,One for the price of two,"Opened the box, grabbed one of the flashlights, twisted the top off, placed the battery.  Seemed to work pretty good.  Then, I grabbed the other flashlight, twisted the... twisted the stuck top, pull the top, WD40 the top, twist the top while holding the body with pliers, threw in trash.  The top was welded on and stripped so badly there was nothing I could do to open it and place the battery.  If you're going to seal it shut, at least provide the battery.  Ridiculous.",1,JJ,2017-08-29
